"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6439","TC019: View & Cart Brand Products","Desktop Firefox","2026-04-14","passed","2026-04-14","Products Browsing and Search","products.spec.ts","",""
"","15050","TC-L-003: Login with a locked-out user account","Desktop Firefox","2026-04-14","failed","2026-04-14","Login Module","saucedemo/login.spec.ts","",""
"","119","TC-CU-005: Partial update (PATCH) of an existing booking","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — CREATE / UPDATE","api/booking-create-update.spec.ts","",""
"","11078","TC009: Search Product","Desktop Firefox","2026-04-14","passed","2026-04-14","Products Browsing and Search","products.spec.ts","",""
"","7236","TC003.1: Login User with incorrect email and password","Desktop Firefox","2026-04-14","passed","2026-04-14","User Login Flow","login.spec.ts","",""
"","6341","TC002: Login User with correct email and password","Desktop Firefox","2026-04-14","passed","2026-04-14","User Login Flow","login.spec.ts","",""
"","15900","TC-P-005: Add a specific product by name to cart","Desktop Firefox","2026-04-14","failed","2026-04-14","Product Catalog","saucedemo/products.spec.ts","",""
"","15241","TC-P-002: Product listing displays at least 6 items with valid names","Desktop Firefox","2026-04-14","failed","2026-04-14","Product Catalog","saucedemo/products.spec.ts","",""
"","124","TC-CU-003: Full update (PUT) of an existing booking with valid auth token","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — CREATE / UPDATE","api/booking-create-update.spec.ts","",""
"Verify login with valid email and password","1420","API-007: POST To Verify Login with valid details","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","14348","TC001: Register User with valid details","Desktop Firefox","2026-04-14","passed","2026-04-14","User Registration Flow","signup.spec.ts","",""
"","260","TC-GET-001: Get all bookings returns a non-empty array","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — GET","api/booking-get.spec.ts","",""
"","142","TC-DEL-001: Delete an existing booking with valid auth token","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — DELETE","api/booking-delete.spec.ts","",""
"","72","TC-CU-001: Create a new booking with valid payload","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — CREATE / UPDATE","api/booking-create-update.spec.ts","",""
"","48","TC-GET-004: Filter bookings by checkin date","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — GET","api/booking-get.spec.ts","",""
"","134","TC-CU-004: PUT update without auth token is rejected with 403","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — CREATE / UPDATE","api/booking-create-update.spec.ts","",""
"","59","TC-AUTH-003: Auth returns error reason with empty credentials","Desktop Firefox","2026-04-14","passed","2026-04-14","Authentication — POST /auth","api/auth.spec.ts","",""
"","44735","TC016: Place Order: Login before Checkout","Desktop Firefox","2026-04-14","passed","2026-04-14","Checkout and Payment Flow","checkout.spec.ts","",""
"Verify POST request to verify login with valid email and password","2459","API-007: POST Verify Login with valid details","Desktop Firefox","2026-04-14","failed","2026-04-14","AutomationExercise API Tests","api-tests-working.spec.ts","",""
"Verify POST request fails without required search_product parameter","791","API-006: POST To Search Product without search_product parameter (Negative)","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","5921","TC004: Logout User","Desktop Firefox","2026-04-14","passed","2026-04-14","User Login Flow","login.spec.ts","",""
"","9675","TC022: Add to cart from Recommended items","Desktop Firefox","2026-04-14","passed","2026-04-14","Shopping Cart Operations","cart.spec.ts","",""
"","321","E2E-API-001: Full booking lifecycle","Desktop Firefox","2026-04-14","passed","2026-04-14","E2E: Booking Lifecycle — Create → Update → Verify → Delete","api/booking-e2e.spec.ts","",""
"","6231","TC028: Verify Scroll Up using Arrow button and Scroll Down functionality","Desktop Firefox","2026-04-14","passed","2026-04-14","Additional Test Flows","additional-flows.spec.ts","",""
"","11340","TC006: Contact Us Form","Desktop Firefox","2026-04-14","passed","2026-04-14","Checkout and Payment Flow","checkout.spec.ts","",""
"","47","TC-GET-003: Get booking with non-existent ID returns 404","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — GET","api/booking-get.spec.ts","",""
"","25122","TC027: Search Products and Verify Cart After Login","Desktop Firefox","2026-04-14","passed","2026-04-14","Additional Test Flows","additional-flows.spec.ts","",""
"","33012","TC024: Download Invoice after purchase order","Desktop Firefox","2026-04-14","passed","2026-04-14","Checkout and Payment Flow","checkout.spec.ts","",""
"","8021","TC005: Register User with existing email","Desktop Firefox","2026-04-14","passed","2026-04-14","User Registration Flow","signup.spec.ts","",""
"Verify GET request to retrieve all brands list","777","API-003: GET All Brands List","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests-working.spec.ts","",""
"","15326","TC-C-004: Checkout form validation — missing postal code (negative)","Desktop Firefox","2026-04-14","failed","2026-04-14","Shopping Cart & Checkout","saucedemo/checkout.spec.ts","",""
"","84","TC-DEL-002: Delete without auth token is rejected with 403","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — DELETE","api/booking-delete.spec.ts","",""
"","5225","TC012: Add Products to Cart from Products Page","Desktop Firefox","2026-04-14","passed","2026-04-14","Products Browsing and Search","products.spec.ts","",""
"","15710","TC-L-004: Login with empty username and password","Desktop Firefox","2026-04-14","failed","2026-04-14","Login Module","saucedemo/login.spec.ts","",""
"","2274","TC011: Verify Subscription in Cart page","Desktop Firefox","2026-04-14","passed","2026-04-14","Shopping Cart Operations","cart.spec.ts","",""
"","5897","TC-L-001: Successful login with valid credentials","Desktop Firefox","2026-04-14","failed","2026-04-14","Login Module","saucedemo/login.spec.ts","",""
"","15174","TC-P-001: Successfully add a product to cart","Desktop Firefox","2026-04-14","failed","2026-04-14","Product Catalog","saucedemo/products.spec.ts","",""
"","90","TC-GET-002: Get booking by valid ID returns complete booking object","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — GET","api/booking-get.spec.ts","",""
"Verify POST request with invalid credentials returns 404","2170","API-010: POST Verify Login with invalid details (Negative)","Desktop Firefox","2026-04-14","failed","2026-04-14","AutomationExercise API Tests","api-tests-working.spec.ts","",""
"","2925","TC007: Verify Login form validation","Desktop Firefox","2026-04-14","passed","2026-04-14","User Login Flow","login.spec.ts","",""
"","60","TC-CU-002: Create booking with missing required fields returns 500","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — CREATE / UPDATE","api/booking-create-update.spec.ts","",""
"","58","TC-AUTH-002: Auth returns error reason with invalid credentials","Desktop Firefox","2026-04-14","passed","2026-04-14","Authentication — POST /auth","api/auth.spec.ts","",""
"","26424","TC026: Place Order: Register before Checkout","Desktop Firefox","2026-04-14","passed","2026-04-14","Additional Test Flows","additional-flows.spec.ts","",""
"Verify login fails with invalid credentials","106","API-010: POST To Verify Login with invalid details (Negative)","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","29899","TC014: Place Order: Register while Checkout","Desktop Firefox","2026-04-14","passed","2026-04-14","Checkout and Payment Flow","checkout.spec.ts","",""
"","14884","TC-C-003: Checkout form validation — missing last name (negative)","Desktop Firefox","2026-04-14","failed","2026-04-14","Shopping Cart & Checkout","saucedemo/checkout.spec.ts","",""
"","203","TC-AUTH-001: Create auth token with valid credentials","Desktop Firefox","2026-04-14","passed","2026-04-14","Authentication — POST /auth","api/auth.spec.ts","",""
"Verify user account deletion with email and password","920","API-012: DELETE To Delete User Account","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","8503","TC008: Verify All Products and product detail page","Desktop Firefox","2026-04-14","passed","2026-04-14","Products Browsing and Search","products.spec.ts","",""
"Verify GET request to retrieve all products list","1226","API-001: GET All Products List","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","19837","TC023: Verify address details in checkout page","Desktop Firefox","2026-04-14","passed","2026-04-14","Checkout and Payment Flow","checkout.spec.ts","",""
"Verify GET request to retrieve all brands list","726","API-003: GET All Brands List","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","5980","TC017: Remove Products From Cart","Desktop Firefox","2026-04-14","passed","2026-04-14","Shopping Cart Operations","cart.spec.ts","",""
"Verify getting user account details by email","1714","API-014: GET User Account Detail By Email","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"Verify POST request to search products with search_product parameter","803","API-005: POST To Search Product with search parameter","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","16053","TC-C-005: Continue shopping from cart returns to product page","Desktop Firefox","2026-04-14","failed","2026-04-14","Shopping Cart & Checkout","saucedemo/checkout.spec.ts","",""
"","14873","TC-C-002: Checkout form validation — all fields empty (negative)","Desktop Firefox","2026-04-14","failed","2026-04-14","Shopping Cart & Checkout","saucedemo/checkout.spec.ts","",""
"","6341","E2E-001: Login → Add to Cart → Checkout → Order Confirmed","Desktop Firefox","2026-04-14","failed","2026-04-14","E2E: Complete Purchase Flow","saucedemo/e2e.spec.ts","",""
"Verify POST request to search product with search_product parameter","3112","API-005: POST Search Product with search parameter","Desktop Firefox","2026-04-14","failed","2026-04-14","AutomationExercise API Tests","api-tests-working.spec.ts","",""
"","6525","TC003: Login User with incorrect email and password","Desktop Firefox","2026-04-14","passed","2026-04-14","User Login Flow","login.spec.ts","",""
"","18233","TC018: View Category Products","Desktop Firefox","2026-04-14","failed","2026-04-14","Products Browsing and Search","products.spec.ts","",""
"","77","TC-DEL-003: Delete a non-existent booking ID returns 405","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — DELETE","api/booking-delete.spec.ts","",""
"Verify GET request to retrieve all products list","1717","API-001: GET All Products List","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests-working.spec.ts","",""
"Verify user account update with all parameters","975","API-013: PUT To Update User Account","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","14787","TC-C-001: Complete successful checkout flow","Desktop Firefox","2026-04-14","failed","2026-04-14","Shopping Cart & Checkout","saucedemo/checkout.spec.ts","",""
"Verify user account creation with all required parameters","483","API-011: POST To Create/Register User Account","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","5083","TC025: Verify Subscription in home page","Desktop Firefox","2026-04-14","passed","2026-04-14","Additional Test Flows","additional-flows.spec.ts","",""
"","4395","TC016: Add Multiple Products to Cart","Desktop Firefox","2026-04-14","passed","2026-04-14","Shopping Cart Operations","cart.spec.ts","",""
"","17332","TC017: Remove Products From Cart","Desktop Firefox","2026-04-14","failed","2026-04-14","Shopping Cart Operations","cart.spec.ts","",""
"","5264","TC021: Add Review on Product","Desktop Firefox","2026-04-14","passed","2026-04-14","Products Browsing and Search","products.spec.ts","",""
"Verify POST request to /api/productsList returns 405 error","2714","API-002: POST To All Products List (Negative)","Desktop Firefox","2026-04-14","failed","2026-04-14","AutomationExercise API Tests","api-tests-working.spec.ts","",""
"Verify login fails without email parameter","176","API-008: POST To Verify Login without email parameter (Negative)","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","15081","TC-P-004: Navigating to cart without adding items shows empty cart (negative)","Desktop Firefox","2026-04-14","failed","2026-04-14","Product Catalog","saucedemo/products.spec.ts","",""
"","4231","TC029: Verify Scroll Up without Arrow button and Scroll Down functionality","Desktop Firefox","2026-04-14","passed","2026-04-14","Additional Test Flows","additional-flows.spec.ts","",""
"","15172","TC-L-002: Login failure with invalid password","Desktop Firefox","2026-04-14","failed","2026-04-14","Login Module","saucedemo/login.spec.ts","",""
"Verify POST method is not supported for products list","768","API-002: POST To All Products List (Negative)","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","6879","TC024: Verify Test Cases Page","Desktop Firefox","2026-04-14","passed","2026-04-14","Additional Test Flows","additional-flows.spec.ts","",""
"Verify PUT method is not supported for brands list","293","API-004: PUT To All Brands List (Negative)","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"Verify DELETE method is not supported for login verification","111","API-009: DELETE To Verify Login (Negative)","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","10346","TC013: Verify Product quantity in Cart","Desktop Firefox","2026-04-14","passed","2026-04-14","Shopping Cart Operations","cart.spec.ts","",""
"","15070","TC-P-003: Sort products by price low-to-high","Desktop Firefox","2026-04-14","failed","2026-04-14","Product Catalog","saucedemo/products.spec.ts","",""
"Verify POST request without email parameter returns 400","3352","API-008: POST Verify Login without email (Negative)","Desktop Firefox","2026-04-14","failed","2026-04-14","AutomationExercise API Tests","api-tests-working.spec.ts","",""
